instance_seed,method,distance,valid,vehicles_used,latency_ms,improvement_pct_vs_nearest_neighbor
42200000000,nearest_neighbor,5.3080604263687645,True,3,0.3922000032616779,0.0
42200000000,nearest_neighbor_2opt,5.137975157894376,True,3,0.6889999931445345,3.2042828229584384
42200000000,initial_policy,4.578978135707613,True,3,43.225699992035516,13.735380385635796
42200000000,gnn_reinforce,4.57380267601075,True,3,45.172700003604405,13.832882284279474
42200000000,gnn_reinforce_2opt,4.532268145954911,True,3,45.39810000278521,14.615362639052927
42200000001,nearest_neighbor,5.609224320100477,True,3,0.3755999932764098,0.0
42200000001,nearest_neighbor_2opt,5.432508120667112,True,3,0.5769999988842756,3.1504569856496545
42200000001,initial_policy,4.650571215080487,True,3,46.74920000252314,17.09065372166856
42200000001,gnn_reinforce,4.281034495527254,True,4,46.97159999341238,23.678671929979643
42200000001,gnn_reinforce_2opt,4.281034495527254,True,4,47.17859998345375,23.678671929979643
42200000002,nearest_neighbor,5.478896454783876,True,3,0.3735999925993383,0.0
42200000002,nearest_neighbor_2opt,5.386153271844559,True,3,0.5643999902531505,1.6927347268689328
42200000002,initial_policy,5.224602216368148,True,3,50.587799996719696,4.641340469095595
42200000002,gnn_reinforce,6.4052969846583,True,5,46.8265999952564,-16.908524143863694
42200000002,gnn_reinforce_2opt,6.310891927113013,True,5,47.04380000475794,-15.18545712983284
42200000003,nearest_neighbor,5.513743956180182,True,3,0.35799999022856355,0.0
42200000003,nearest_neighbor_2opt,5.0775660148426445,True,3,0.5551999784074724,7.910739867574724
42200000003,initial_policy,5.233241405369381,True,3,47.1893999929307,5.087333634642107
42200000003,gnn_reinforce,5.825379944661353,True,4,47.338699994725175,-5.651985129484796
42200000003,gnn_reinforce_2opt,5.564305774719826,True,4,47.60890000034124,-0.9170142636560226
42200000004,nearest_neighbor,4.986822538004542,True,2,0.3623999946285039,0.0
42200000004,nearest_neighbor_2opt,4.986822538004542,True,2,0.534699996933341,0.0
42200000004,initial_policy,4.638032090834102,True,2,46.83919998933561,6.994242215605441
42200000004,gnn_reinforce,4.843958768449994,True,3,44.29570000502281,2.8648256172298976
42200000004,gnn_reinforce_2opt,4.738692089362905,True,3,44.4982000044547,4.975722451533754
42200000005,nearest_neighbor,4.733517174143494,True,2,0.36469999758992344,0.0
42200000005,nearest_neighbor_2opt,4.495114465424633,True,2,0.5505000008270144,5.036481329805229
42200000005,initial_policy,4.733517174143494,True,2,45.27790000429377,0.0
42200000005,gnn_reinforce,4.718894624322576,True,3,44.91680000501219,0.3089151107509097
42200000005,gnn_reinforce_2opt,4.713941123675807,True,3,45.163000002503395,0.4135624684034195
