step,sampled_distance,greedy_baseline_distance,reinforce_loss,gradient_norm_before_clip,validation_distance
1,7.062325477600098,5.390186309814453,-45.01085662841797,2.7496256828308105,5.567632675170898
2,7.137555122375488,5.620147705078125,-39.1796875,1.1743323802947998,
3,7.155298709869385,5.585582256317139,-41.60575866699219,1.600268840789795,
4,7.1909308433532715,5.650762557983398,-41.65937042236328,1.2049070596694946,
5,7.131267547607422,5.632950305938721,-38.60992431640625,1.156365156173706,
6,7.091827392578125,5.441883563995361,-42.761314392089844,0.8976255059242249,
7,7.058411598205566,5.537647247314453,-39.87275314331055,1.7879544496536255,
8,7.087796211242676,5.556574821472168,-40.21040344238281,2.259162664413452,
9,7.014819622039795,5.592877388000488,-35.640541076660156,1.4201618432998657,
10,6.98685359954834,5.537439346313477,-38.11908721923828,1.0157541036605835,
11,7.138545036315918,5.5637922286987305,-41.10223388671875,1.6772524118423462,
12,6.876809120178223,5.510481834411621,-34.90495681762695,1.021886944770813,
13,7.002440929412842,5.536563873291016,-38.288883209228516,1.6079051494598389,
14,6.9554877281188965,5.611235618591309,-35.56907653808594,1.916038155555725,
15,6.984622955322266,5.526065826416016,-37.092552185058594,2.3482425212860107,
16,6.922815322875977,5.530475616455078,-35.36749267578125,1.8748325109481812,
17,6.840588569641113,5.500783920288086,-33.783443450927734,0.6119602918624878,
18,6.934925079345703,5.624146461486816,-33.264625549316406,0.8121671080589294,
19,7.06049919128418,5.594705581665039,-36.7828369140625,0.9949362277984619,
20,6.900677680969238,5.508950710296631,-34.42741012573242,0.600688099861145,
21,7.110928058624268,5.640225410461426,-37.39817810058594,1.1062451601028442,
22,7.012118339538574,5.508456230163574,-37.92060089111328,1.6589429378509521,
23,6.908882141113281,5.57912540435791,-32.70079040527344,1.9508275985717773,
24,7.062958717346191,5.651205062866211,-36.01970291137695,1.5609606504440308,
25,6.9615888595581055,5.51287841796875,-35.8974723815918,1.275572657585144,
26,6.888706207275391,5.560344696044922,-33.025047302246094,1.9032692909240723,
27,7.047958850860596,5.507620811462402,-38.530296325683594,0.9547209739685059,
28,6.8633809089660645,5.627471923828125,-30.194637298583984,1.697568416595459,
29,6.751178741455078,5.453447341918945,-31.92136573791504,0.8887472748756409,
30,6.885741233825684,5.425307273864746,-36.763343811035156,1.2961208820343018,
31,6.915624618530273,5.529601573944092,-34.39385986328125,1.7902147769927979,
32,6.927302360534668,5.48478364944458,-35.38313293457031,0.9365525841712952,
33,6.8601837158203125,5.537725925445557,-32.82291030883789,1.2461000680923462,
34,6.874533653259277,5.529867172241211,-32.72695541381836,1.3022369146347046,
35,6.8653035163879395,5.53931999206543,-33.38267517089844,2.3044705390930176,
36,6.936811447143555,5.593530654907227,-32.428409576416016,1.3408401012420654,
37,6.814660549163818,5.502086162567139,-32.099388122558594,3.0676283836364746,
38,6.809079170227051,5.531983375549316,-31.034669876098633,1.7355923652648926,
39,6.778036117553711,5.394681930541992,-33.08753967285156,1.991713047027588,
40,6.781184673309326,5.389392852783203,-34.14007568359375,2.860159397125244,5.506514549255371
41,6.777220726013184,5.490604400634766,-30.319862365722656,1.7933586835861206,
42,6.8351945877075195,5.452662467956543,-33.96568298339844,2.3177881240844727,
